ticker,security_name,gics_sector,gics_sub_industry,headquarters_location,cik,founded,status
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1067701,1997,active
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",36104,1968,active
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",1403161,1958,active
VEEV,Veeva Systems,Health Care,Health Care Technology,"Pleasanton, California",1393052,2007,active
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",1705696,2017,active
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",1035002,1980,active
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",1967680,2023,active
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",1396009,1909,active
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",1442145,1971,active
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Reston, Virginia",1014473,1995,active
VRT,Vertiv,Industrials,Electrical Components & Equipment,"Westerville, Ohio",1674101,2016,active
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",875320,1989,active
VST,Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",1692819,2016,active
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",740260,1998,active
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",1792044,1961,active
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",732712,1983 (1877),active
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",943452,1999 (1869),active
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",1000697,1958,active
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",1437107,2022 (Warner Bros. 1923),active
WDAY,"Workday, Inc.",Information Technology,Application Software,"Pleasanton, California",1327811,2005,active
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",106040,1970,active
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",783325,1896,active
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",766704,1970,active
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",72971,1852,active
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",823768,1968,active
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",107263,1908,active
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",104169,1962,active
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",11544,1967,active
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,"San Francisco, California",719955,1956,active
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",105770,1923,active
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1140536,2016,active
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",106535,1900,active
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",1174922,2002,active
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",72903,1909,active
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",34088,1999,active
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",1524472,2011,active
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,none,1512673,2009,active
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1041061,1997,active
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",1136869,1927,active
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",877212,1969,active
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",1555280,1952,active
